receipt_id,category,exact_search_query,exact_source_url,page_or_repo_opened,verified_fact,extracted_idea,accepted_or_rejected,reason,architecture_layer_supported,confidence,valid_receipt,invalid_reason
R024,banks,site:finos.org bank contributed project GitHub,https://www.finos.org/press/citi-deutsche-bank-lead-latest-round-of-contributions-to-finos-as-financial-services-continues-rapid-adoption-of-open-source,FINOS press page,FINOS bank contribution statement page exists,Contribution mapping for provenance,accepted,relevant,governance_process,high,true,
R025,banks,site:github.com rbc open source GitHub,https://github.com/orgs/RBC/repositories,RBC org repos page,RBC org with public repos exists,Canadian bank verification,accepted,relevant,institution_scan,high,true,
R026,banks,site:github.com TD Bank open source GitHub,https://github.com/budney/tdbank,community TD client repo,Official TD Bank OSS not verified,Negative result retained,rejected,community wrapper not bank OSS,coverage_limits,high,true,
R027,banks,site:github.com BMO open source GitHub,https://github.com/BYOBMO/BMOS,non-bank BMO repo,Homonym result not Bank of Montreal official,Negative result retained,rejected,entity mismatch,coverage_limits,high,true,
R028,banks,site:github.com Scotiabank GitHub repositories,https://github.com/javaidb/personal-finance-tracker,community project,No official Scotiabank repo verified,Negative result retained,rejected,unofficial source,coverage_limits,high,true,
R029,banks,site:github.com CIBC open source GitHub,https://github.com/CIBC-Internal/boost,CIBC-Internal repo,Institution mapping unclear for retail bank OSS,Marked weak evidence,rejected,ambiguous institution mapping,coverage_limits,medium,true,
R030,banks,site:github.com National Bank of Canada GitHub,https://github.com/bankofcanada,bankofcanada org,Returned different institution than requested,Negative result retained,rejected,target mismatch,coverage_limits,high,true,
R031,banks,site:github.com TMX Group GitHub market data,https://github.com/dray89/finance_python,community scraper repo,TMX direct OSS data feed not verified,Coverage limitation note,rejected,no official TMX market-data repo validated,coverage_limits,medium,true,
R032,banks,site:github.com deutschebank repositories,https://github.com/deutschebank,deutschebank org,Official Deutsche Bank org exists,Institutional engineering patterns,accepted,relevant,institution_scan,high,true,
R033,banks,site:github.com UBS-AG open source,https://github.com/UBS-IB,UBS-IB org,UBS IB org exists,Partial institutional reference,accepted,limited scope but exact URL,governance_process,medium,false,partial institution attribution not strong enough for strict receipt standard
R034,banks,site:github.com hsbc open source GitHub,https://github.com/hsbc,hsbc org,Official HSBC org exists,Institutional OSS process references,accepted,relevant,institution_scan,high,true,
R035,banks,site:github.com natwest open source,https://github.com/NatWest,NatWest org,Official NatWest org exists,Small-footprint institutional reference,accepted,relevant,institution_scan,medium,false,small-footprint organization-only evidence without feature verification
R036,banks,site:github.com barclays open source GitHub,https://github.com/Barclays/research_data_science,Barclays repo,Official Barclays data-science repo found,Data-layer abstraction ideas,accepted,relevant,provider_api_design,high,true,
R037,banks,site:github.com BNP Paribas GitHub open source,https://github.com/bnpparibas,bnpparibas org,Official BNP Paribas org exists,Limited but valid institutional reference,accepted,relevant,institution_scan,medium,false,limited organization-level evidence without project-level verified feature
R038,banks,site:github.com ING open source GitHub,https://github.com/ing-bank,ing-bank org,Official ING org exists,Engineering platform references,accepted,relevant,institution_scan,high,true,
R039,banks,site:github.com BBVA open source GitHub,https://github.com/bbva,BBVA org,Official BBVA org exists,Large OSS portfolio reference,accepted,relevant,institution_scan,high,true,
R040,banks,site:github.com Nomura GitHub open source,https://github.com/norio-nomura,norio-nomura user,Not an official Nomura bank organization,negative evidence retained,rejected,target mismatch,coverage_limits,high,true,
R041,banks,site:github.com MUFG GitHub open source,https://github.com/AlanFromJapan/FundManagerCompanion,community project,Not an official MUFG OSS organization hit,negative evidence retained,rejected,target mismatch,coverage_limits,high,true,
R042,universities,site:github.com "Cornell Quant Fund" backtesting,https://github.com/CornellQuantFund/CQF_Backtesting,CQF_Backtesting repo,Cornell Quant Fund backtesting repo exists,Educational backtester patterns,accepted,relevant,experimental_method_layer,high,true,
R043,universities,site:github.com "MIT" "algorithmic trading" "GitHub",https://github.com/Magica-Chen/GaussWorldTrader,GaussWorldTrader repo,MIT-linked project result observed,Low-confidence university attribution,accepted,use with caution,experimental_method_layer,low,false,unverified institutional attribution (MIT linkage inferred not proven)
R044,universities,site:github.com "machine learning for trading" "university",https://github.com/cwu392/Machine-Learning-for-Trading,ML4T repo,University ML4T coursework repos exist,Reproducible educational pipeline patterns,accepted,relevant,experimental_method_layer,high,true,
R045,universities,site:github.com "financial engineering" "backtesting" "course",https://github.com/LechGrzelak/FinancialEngineering_IR_xVA,course repo,Financial engineering course repository exists,Curriculum-to-lab workflow ideas,accepted,relevant,experimental_method_layer,medium,true,
R046,universities,site:github.com "University of Toronto" "finance" "GitHub",https://github.com/Aman-Rana-02,Aman-Rana-02 profile,UofT-linked finance profile exists,Student project reference only,accepted,limited rigor,experimental_method_layer,low,false,profile-level source with inferred university attribution and weak technical evidence
R047,universities,site:github.com "Waterloo" "quantitative finance",https://github.com/UWQSC/algorithmic-trading,UWQSC repo,Waterloo quant club repo exists,Team research workflow ideas,accepted,relevant,experimental_method_layer,medium,true,
R048,universities,site:github.com "UBC" "finance" "machine learning",https://github.com/UBC-MDS/nasdaq_scorecards,UBC-MDS repo,UBC MDS finance dashboard repo exists,Educational scoring UI pattern,accepted,relevant,dashboard_layer,medium,true,
R049,nasa_labs,site:github.com NASA-PDS validate data product validation,https://github.com/NASA-PDS/validate,NASA-PDS validate repo,NASA PDS validate tool exists,Strict validation gate design,accepted,relevant,ingestion_validation_layer,high,true,
R050,nasa_labs,site:github.com NASA software verification validation runtime verification,https://github.com/NASA-SW-VnV/mesa,mesa repo,NASA SW VnV runtime verification tooling exists,Formal verification patterns,accepted,relevant,test_gate_layer,high,true,
R051,nasa_labs,site:github.com LLNL workflow orchestration data analysis,https://github.com/llnl/dfanalyzer,dfanalyzer repo,LLNL dataflow analysis tool exists,Runtime evidence collection ideas,accepted,relevant,provenance_layer,high,true,
R052,nasa_labs,site:github.com ORNL provenance scientific workflow,https://github.com/ORNL/flowcept,flowcept repo,ORNL provenance capture framework exists,Provenance event capture design,accepted,relevant,provenance_layer,high,true,
R053,nasa_labs,site:github.com Sandia verification validation test harness,https://github.com/sandialabs/vvtest,vvtest repo,Sandia V&V harness exists,Regression test harness structure,accepted,relevant,test_gate_layer,high,true,
R054,nasa_labs,site:github.com NIST data validation reproducibility,https://github.com/usnistgov/SDNist/,SDNist repo,NIST validation package exists,Data quality benchmark discipline,accepted,relevant,validation_metrics_layer,high,true,
R055,mlops_lineage,site:github.com DVC data versioning pipeline,https://github.com/iterative/dvc,dvc repo README.rst,DVC README describes Data Version Control for versioning data and models and reproducible ML pipelines in Git,Use Git-tracked pipeline stages with remote-backed data caches for immutable research reruns,accepted,Canonical DVC project README confirms scope,versioning_layer,high,true,
R056,mlops_lineage,site:github.com MLflow experiment tracking reproducible research,https://github.com/mlflow/mlflow,mlflow repo README.md,MLflow README states platform supports experiment tracking model registry and deployment integrations,Track parameters metrics and artifacts per simulation run with queryable history,accepted,mlflow/mlflow README lists ML lifecycle features,experiment_tracking_layer,high,true,
R057,mlops_lineage,site:github.com Great Expectations data quality validation,https://github.com/great-expectations/great_expectations,great_expectations repo README.md,GX README explains Expectations as unit tests for data with validation results documentation,Encode dataset contracts as expectation suites executed in CI or pipelines,accepted,great-expectations README documents GX Core expectations,data_quality_layer,high,true,
R058,mlops_lineage,site:github.com Evidently AI data drift model monitoring,https://github.com/evidentlyai/evidently,evidently repo README.md,Evidently README documents Reports Test Suites and monitoring UI for drift and LLM evals,Ship drift and quality gates from tabular and LLM evaluations with pass fail tests,accepted,evidently README details presets and monitoring UI,drift_monitoring_layer,high,true,
R059,mlops_lineage,site:github.com Prefect data pipeline orchestration,https://github.com/PrefectHQ/prefect,prefect repo README.md,Prefect README defines workflow orchestration with scheduling retries caching and Prefect server UI,Model ingestion and feature builds as observable flows with retries and schedules,accepted,Prefect README covers flows tasks and monitoring,orchestration_layer,high,true,
R060,mlops_lineage,site:github.com Dagster data assets lineage,https://github.com/dagster-io/dagster,dagster python_modules README.md,Dagster README calls it cloud-native orchestrator for data assets with lineage and observability,Represent features and simulation outputs as versioned assets with column-level lineage in UI,accepted,dagster README emphasizes assets lineage and testability,lineage_layer,high,true,
R061,mlops_lineage,site:github.com OpenLineage data provenance workflow,https://github.com/OpenLineage/OpenLineage,OpenLineage repo README.md,OpenLineage README defines open standard metadata lineage for jobs datasets and extensible facets,Emit structured run events from pipelines for audit trails compatible with Marquez-style backends,accepted,OpenLineage README describes core entities and integrations,provenance_layer,high,true,
R062,mlops_lineage,site:github.com Marquez data lineage,https://github.com/MarquezProject/marquez,marquez repo README.md,Marquez README describes metadata service collecting dataset job run metadata via OpenLineage events,Host lineage graph UI over HTTP API for dependency and runtime visibility,accepted,Marquez README ties UI and API to OpenLineage ingest,lineage_service_layer,high,true,
R063,mlops_lineage,site:github.com dbt data quality lineage,https://github.com/dbt-labs/dbt-core,dbt-core README.md,dbt README explains SQL models with refs lineage visualization and built-in data tests,Encode transforms as testable DAGged SQL suitable for warehouse-side validation layers,accepted,dbt-core README describes testing and model DAGs,sql_modeling_layer,high,true,
R064,mlops_lineage,site:github.com DuckDB stock market analytics,https://github.com/duckdb/duckdb,duckdb README.md,DuckDB README describes analytical SQL engine with Parquet CSV reads and multi-language clients,Run fast local OLAP queries over frozen Parquet OHLCV snapshots for research loops,accepted,duckdb README confirms analytical SQL and file-backed queries,analytics_storage_layer,high,true,
R065,mlops_lineage,site:github.com DataHub metadata lineage finance,https://github.com/datahub-project/datahub,datahub README.md,DataHub README titles project as open source AI data catalog for discovery governance observability,Centralize dataset glossary ownership lineage facets across finance-grade catalogs,accepted,datahub README positions enterprise metadata catalog,metadata_layer,high,true,
R066,mlops_lineage,site:github.com Feast feature store financial data,https://github.com/feast-dev/feast,feast README.md,Feast README defines feature store with offline online stores point-in-time joins and leakage avoidance,Serve consistent training and inference features with timestamps for simulation splits,accepted,Feast README stresses point-in-time correctness and stores,feature_store_layer,high,true,
R067,osint_fraud,OSINT investigation platform GitHub evidence graph,https://github.com/google/timesketch,timesketch README.md,Timesketch README describes collaborative forensic timeline analysis with sketches tags and comments,Mirror timeline-first analyst workflows for catalyst and evidence review UX patterns,accepted,google/timesketch README covers timeline collaboration,evidence_graph_layer,high,true,
R068,osint_fraud,site:github.com entity resolution graph analytics,https://github.com/dedupeio/dedupe,dedupe README.md,dedupe README states ML library for fuzzy matching deduplication and entity resolution on structured data,Train linkage models for issuer ticker and news entity clustering with human labels,accepted,dedupe README explicitly mentions entity resolution,entity_resolution_layer,high,true,
R069,osint_fraud,site:github.com fraud detection anomaly detection Python,https://github.com/yzhao062/pyod,pyod README.rst,PyOD README titles Python Outlier Detection PyOD for scalable anomaly detection workflows,Plug modular detectors into batch scoring for surveillance style anomaly passes,accepted,yzhao062/pyod README branding for PyOD,anomaly_detection_layer,high,true,
R070,osint_fraud,site:github.com time series anomaly detection finance,https://github.com/sintel-dev/Orion,Orion README.md,Orion README defines ML library for unsupervised time series anomaly detection with benchmarked pipelines,Reuse pipeline evaluation patterns for regime breaks and thin-trade anomalies,accepted,sintel-dev/Orion README scope statement,anomaly_detection_layer,high,true,
R071,osint_fraud,site:github.com Sigma rules SIEM detection,https://github.com/SigmaHQ/sigma,sigma README.md,Sigma README defines generic signature format for SIEM systems with thousands of portable rules,Express suspicious behaviors as portable rules convertible to alert queries,accepted,SigmaHQ README defines vendor-agnostic rule format,rule_engine_layer,high,true,
R072,osint_fraud,site:github.com alert triage platform GitHub,https://github.com/TheHive-Project/TheHive,TheHive README.md,TheHive README describes incident response platform importing SIEM alerts MISP events into cases,Structure alert intake templates tasks and observables like SOC case queues,accepted,TheHive README documents alerts cases and observables,triage_queue_layer,high,true,
R073,osint_fraud,site:github.com incident timeline analysis GitHub,https://github.com/Velocidex/velociraptor,velociraptor README.md,Velociraptor README defines endpoint visibility via VQL queries for investigations and collectors,Collect structured endpoint artifacts analogous to targeted evidence pulls,accepted,Velociraptor README states VQL-based host collection,postmortem_timeline_layer,high,true,
R074,osint_fraud,site:github.com knowledge graph investigation dashboard,https://github.com/neo4j-labs/neodash,neodash README.md,NeoDash README describes Neo4j dashboard builder but warns project no longer maintained by Neo4j Labs,Study layout patterns only adopt maintained Neo4j dashboard offerings per README advisory,accepted,NeoDash README unmaintained warning limits production reuse,evidence_graph_layer,medium,false,upstream explicitly unmaintained project; not accepted for strict production evidence
R075,outside_validation,site:github.com forecast verification skill score Python,https://github.com/nci/scores,scores README.md,scores README documents Python verification metrics for forecasts including skill scores and CRPS on xarray data,Apply rigorous scoring rules (CRPS MAE bias) to model vs baseline comparisons,accepted,nci/scores README metric tables and scope,validation_metrics_layer,high,true,
R076,outside_validation,site:github.com statistical process control Python GitHub,https://github.com/statsmodels/statsmodels,statsmodels README.rst,statsmodels README lists statistical tests diagnostics time series and graphics for modeling workflows,Leverage hypothesis tests and diagnostic plots as statistical QC adjuncts to pipelines,accepted,statsmodels README feature list for inference and tests,quality_monitoring_layer,high,true,
R077,outside_validation,site:github.com e-discovery evidence management GitHub,https://github.com/apache/tika,tika README.md,Tika README defines toolkit detecting and extracting metadata and structured text from documents,Parse heterogeneous filings and catalyst documents into normalized text for NLP passes,accepted,Tika README scopes metadata and text extraction,evidence_management_layer,high,true,
R078,outside_validation,site:github.com clinical cohort analysis reproducibility GitHub,https://github.com/OHDSI/WebAPI,WebAPI README.md,OHDSI WebAPI README lists cohort definition characterization and estimation APIs over OMOP CDM data,Borrow cohort DSL discipline for defining comparable baskets and controls,accepted,OHDSI WebAPI README enumerates cohort and estimation endpoints,control_group_layer,high,true,
R079,outside_validation,site:github.com robotics simulation validation pipeline,https://github.com/ros-industrial/industrial_ci,industrial_ci README.rst,industrial_ci README describes reusable CI scripts for ROS builds tests and optional ROS prerelease tests,Adapt reusable CI harness mindset for regression suites around simulation runs,accepted,industrial_ci README documents ROS CI scripts and tests,simulation_validation_layer,high,true,
R080,outside_validation,site:github.com outbreak detection time series GitHub,https://github.com/SABS-R3-Epidemiology/epiabm,epiabm README.md,epiabm README describes agent-based SEIR spatial infection model with reproducible Python workflows,Study emergence dynamics patterns for rare-event surveillance metaphors,accepted,epiabm README documents reproducible SEIR simulation workflows,rare_signal_layer,medium,true,
R081,outside_validation,site:github.com quality control dashboard statistical process control,https://github.com/ydataai/pandas-profiling,pandas-profiling README.md,pandas-profiling README describes fg-data-profiling HTML JSON profiling with alerts on missing skew duplicates,Generate automated dataset QC dashboards before trusting features or basket joins,accepted,ydata README alerts and ProfileReport outputs,quality_monitoring_layer,high,true,
R082,nasa_labs,site:github.com noaa data pipeline validation,https://github.com/ioos/erddapy,erddapy README.md,erddapy README explains ERDDAP client referencing NOAA ERDDAP servers for scientific downloads,Treat authoritative environmental APIs as reference discipline for external series ingestion,accepted,erddapy README documents NOAA ERDDAP usage patterns,ingestion_validation_layer,high,true,
R083,nasa_labs,site:github.com usgs data pipeline reproducible workflow,https://github.com/USGS-python/dataretrieval,dataretrieval README.md,dataretrieval README states Python access to USGS hydrology Water Data APIs WQP and NLDI networks,Emulate reproducible federal API retrieval logging rate limits and manifest URLs,accepted,dataretrieval README lists Water Data API modules,reproducible_pipeline_layer,high,true,
R084,nasa_labs,site:github.com cern workflow provenance,https://github.com/reanahub/reana,reana README.md,reana README describes reusable reproducible analysis platform for particle physics with container workflows on clouds,Model containerized rerunnable workflows with preserved inputs matching science gate metaphors,accepted,reana README targets reproducible physics analyses on clouds,provenance_layer,high,true,
R085,quant_backtesting,GitHub qlib research platform,https://github.com/microsoft/qlib,microsoft qlib repo,Qlib platform exists,Use for research workflow structure,accepted,relevant,research_workflow_layer,high,true,
R086,quant_backtesting,GitHub nautilus trader architecture,https://github.com/nautechsystems/nautilus_trader/blob/develop/docs/concepts/architecture.md,nautilus architecture doc,Deterministic event-driven architecture documented,Adopt reliability-first engine patterns,accepted,relevant,simulation_engine,high,true,
R087,quant_backtesting,GitHub stock screener FastAPI React DuckDB,https://github.com/xang1234/stock-screener,stock-screener repo,Stock screener implementation exists,Screening workflow reference,accepted,relevant,candidate_pipeline_layer,medium,true,
R088,quant_backtesting,GitHub local first market analytics dashboard,https://albertoroura.com/repo-dashboard-local-github-visibility-tool/,repo-dashboard article,Local-first dashboard pattern documented,Local-only operation inspiration,accepted,relevant,local_first_mode,low,false,non-repository article-level source not sufficient for strict code evidence
R089,quant_backtesting,GitHub OpenBB platform architecture,https://openbb.co/blog/exploring-the-architecture-behind-the-openbb-platform,OpenBB architecture blog,Layered architecture described,Provider-router-core pattern,accepted,relevant,provider_layer,high,true,
R090,quant_backtesting,GitHub QuantConnect LEAN engine,https://github.com/QuantConnect,QuantConnect org,LEAN engine project ecosystem verified,Event-driven production benchmark,accepted,relevant,simulation_engine,high,true,
R091,quant_backtesting,GitHub FinRL framework,https://github.com/AI4Finance-Foundation/FinRL,FinRL repo,FinRL framework exists,Use for optional experiment track only,accepted,relevant,experimental_ai_layer,high,true,
R092,finos,site:finos.org Plexus Interop GitHub,https://plexus.finos.org/,Plexus project page,Plexus interop framework page exists,Interop architecture ideas,accepted,relevant,ui_interop_layer,medium,true,
R093,finos,site:finos.org Common Domain Model governance GitHub,https://odp.finos.org/docs/governance,FINOS governance docs,FINOS governance process documented,Governance gates and contribution controls,accepted,relevant,governance_process,high,true,
R094,universities,site:github.com "Stanford" "machine learning trading" "GitHub",https://github.com/picklenchips/MARKET-MAKING-RL,market-making RL repo,Stanford-tagged project repo exists,Experimental RL benchmark ideas,accepted,student-level source,experimental_method_layer,medium,true,
R095,universities,site:github.com "Princeton" "financial engineering" "GitHub",https://github.com/pu-orfe,pu-orfe org,Princeton ORFE org exists,Academic methods references,accepted,relevant,experimental_method_layer,high,true,
R096,universities,site:github.com "Columbia" "financial engineering" "backtesting",https://github.com/DanOKeefe/FinancialEngineering,FinancialEngineering repo,Columbia course-based finance repo exists,Course reproducibility patterns,accepted,relevant,experimental_method_layer,medium,true,
R097,universities,site:github.com "NYU" "financial engineering" "algorithmic trading",https://github.com/XhovaniM8/fpga-orderbook-analysis,fpga-orderbook-analysis repo,NYU-linked capstone repo exists,Latency and order-book modeling ideas,accepted,relevant,market_microstructure_layer,medium,true,
R098,universities,site:github.com "Carnegie Mellon" "computational finance",https://github.com/cmu-sei/finsim,finsim repo,CMU SEI simulation project exists,Simulation process and test ideas,accepted,relevant,simulation_validation_layer,medium,true,
R099,universities,site:github.com "University of Chicago" "algorithmic trading",https://github.com/Ohimoiza1205/uchicago-quant-trading,uchicago-quant-trading repo,UChicago competition repo exists,Competition stress-test scenarios,accepted,educational scope only,scenario_library_layer,medium,true,
R100,universities,site:github.com "Berkeley" "machine learning for trading",https://github.com/Traders-at-Berkeley,Traders-at-Berkeley org,Berkeley quant club org exists,Community research workflow references,accepted,limited technical depth,experimental_method_layer,low,false,club-level organization source with limited feature-level verification
R101,universities,site:github.com "McGill" "finance" "backtesting",https://github.com/ThongLai/Investment-Allocation-Analysis_McGill-Hackathon,McGill hackathon repo,Backtesting-oriented student project exists,Portfolio experiment framing,accepted,educational source,experimental_method_layer,medium,true,
R102,universities,site:github.com "Western University" "finance" "GitHub",https://github.com/Banking-Analytics-Lab,Banking-Analytics-Lab org,Western-linked lab org exists,Banking analytics methods references,accepted,relevant,risk_scoring_layer,medium,true,
R103,nasa_labs,site:github.com NASA cFS core flight system,https://github.com/nasa/cFS/blob/main/README.md,cFS README,NASA cFS framework exists,Mission-critical modular architecture ideas,accepted,relevant,reliability_core_layer,high,true,
R104,nasa_labs,site:github.com nasa trick simulation environment,https://github.com/nasa/trick/,Trick repo,NASA Trick simulation framework exists,Simulation and validation discipline,accepted,relevant,simulation_validation_layer,high,true,
R105,nasa_labs,site:github.com NASA JPL ION-DTN,https://github.com/nasa-jpl/ION-DTN/blob/integration/README.md,ION-DTN README,ION-DTN project exists,Resilient communication/retry patterns,accepted,relevant,resilience_layer,high,true,
R106,nasa_labs,site:github.com LLNL merlin workflow,https://github.com/LLNL/merlin/blob/develop/README.md,Merlin README,LLNL Merlin workflow system exists,DAG orchestration and run control ideas,accepted,relevant,orchestration_layer,high,true,
R107,nasa_labs,site:github.com llnl conduit,https://github.com/LLNL/conduit/releases,Conduit releases page,LLNL Conduit project/releases exist,Structured scientific data interchange ideas,accepted,relevant,data_exchange_layer,medium,true,
R108,nasa_labs,site:github.com pnnl trend analysis data science,https://github.com/pnnl/texplore,texplore repo,PNNL trend exploration repo exists,Trend analysis workflow ideas,accepted,relevant,trend_analysis_layer,medium,true,
R109,osint_fraud,site:github.com source confidence scoring OSINT GitHub,https://github.com/smixs/osint-skill,osint-skill repo,OSINT scoring-oriented project exists,Confidence weighting concept,accepted,relevant,source_confidence_layer,medium,true,
R110,osint_fraud,site:github.com graph fraud detection Python,https://github.com/safe-graph/DGFraud,DGFraud repo,Graph fraud detection toolkit exists,Graph anomaly methods for risk flags,accepted,relevant,graph_risk_layer,high,true,
R111,osint_fraud,site:github.com anomaly detection dashboard time series,https://github.com/julian-rakuschek/AnoScout,AnoScout repo,Interactive anomaly exploration app exists,Analyst-facing anomaly triage UI ideas,accepted,relevant,anomaly_dashboard_layer,medium,true,
R112,osint_fraud,site:github.com pump dump detection GitHub,https://github.com/Bayi-Hu/Pump-and-Dump-Detection-on-Cryptocurrency,pump-dump repo,Pump/dump research repo exists,Weak-signal anomaly patterns only,accepted,domain transfer caution,weak_signal_layer,medium,true,
R113,outside_validation,site:github.com red team blue team analysis framework,https://github.com/msaleme/red-team-blue-team-agent-fabric/blob/bf2159fc2889b4f29489d04c64fe069e97e752d2/EVALUATION_PROTOCOL.md,EVALUATION_PROTOCOL.md,Agent red/blue evaluation protocol exists,Adversarial test-gate design ideas,accepted,relevant,ai_safety_gate_layer,high,true,
R114,outside_validation,site:github.com adversarial evaluation LLM agents,https://github.com/microsoft/ai-agent-eval-scenario-library/blob/main/capability-scenarios/red-teaming-and-adversarial-evaluation.md,red-teaming-and-adversarial-evaluation.md,Adversarial LLM evaluation scenario documented,LLM review hardening controls,accepted,relevant,ai_safety_gate_layer,high,true,
R115,osint_fraud,site:github.com Maltego open source transforms graph investigation,https://github.com/INTERPOL-Innovation-Centre/GraphSense-Maltego-transform,GraphSense-Maltego-transform repo,Graph transform project exists,Entity enrichment transform patterns,accepted,relevant,enrichment_layer,high,true,
R116,osint_fraud,site:github.com digital forensics timeline analysis tool,https://github.com/google/timesketch/,timesketch repo,Timesketch timeline platform exists,Timeline-first incident review pattern,accepted,relevant,postmortem_timeline_layer,high,true,
R117,osint_fraud,site:github.com threat intelligence entity resolution,https://github.com/OpenCTI-Platform/docs/blob/main/docs/usage/exploring-entities.md,OpenCTI entities docs,OpenCTI entity model docs exist,Entity resolution and dedup workflow ideas,accepted,relevant,entity_resolution_layer,high,true,
R118,osint_fraud,site:github.com fraud triage case management investigation,https://github.com/js731981/insurance-ai-decision-platform,insurance-ai-decision-platform repo,Fraud triage workflow project exists,Case queue and confidence thresholds,accepted,relevant,triage_queue_layer,medium,true,
R119,outside_validation,site:github.com root cause analysis toolkit incident,https://github.com/salesforce/PyRCA,PyRCA repo,Root-cause analysis toolkit exists,Failure analysis automation ideas,accepted,relevant,postmortem_rca_layer,high,true,
