candidate_id,project_name,exact_url,category,organization,official_status,license,stack,useful_idea,accepted_or_rejected,reason,receipt_id,valid_receipt_support,invalid_reason
C039,Machine-Learning-for-Trading,https://github.com/cwu392/Machine-Learning-for-Trading,universities,Georgia Tech coursework,coursework,UNVERIFIED,Python,reproducible trading coursework patterns,accepted,relevant,R044,true,
C040,UWQSC algorithmic-trading,https://github.com/UWQSC/algorithmic-trading,universities,Waterloo QSC,club,UNVERIFIED,Python,team quant research workflow,accepted,relevant,R047,true,
C041,UBC-MDS nasdaq_scorecards,https://github.com/UBC-MDS/nasdaq_scorecards,universities,UBC MDS,coursework,UNVERIFIED,Python+Streamlit,educational scoring dashboard patterns,accepted,relevant,R048,true,
C042,pu-orfe organization,https://github.com/pu-orfe,universities,Princeton ORFE,official,UNVERIFIED,multi,official academic org reference,accepted,relevant,R095,true,
C043,DanOKeefe/FinancialEngineering,https://github.com/DanOKeefe/FinancialEngineering,universities,Columbia coursework,coursework,UNVERIFIED,Notebook-based,financial engineering methods examples,accepted,relevant,R096,true,
C044,XhovaniM8/fpga-orderbook-analysis,https://github.com/XhovaniM8/fpga-orderbook-analysis,universities,NYU-linked project,student,UNVERIFIED,Python+FPGA context,microstructure and latency concepts,accepted,relevant,R097,true,
C045,cmu-sei/finsim,https://github.com/cmu-sei/finsim,universities,CMU SEI,official,UNVERIFIED,Python+Flask,simulation process references,accepted,relevant,R098,true,
C046,Ohimoiza1205/uchicago-quant-trading,https://github.com/Ohimoiza1205/uchicago-quant-trading,universities,UChicago competition,student,UNVERIFIED,Python,competition scenario ideas,accepted,relevant,R099,true,
C047,Traders-at-Berkeley org,https://github.com/Traders-at-Berkeley,universities,Berkeley club,club,UNVERIFIED,multi,community quant workflow references,accepted,low depth,R100,false,club-level evidence invalidated in strict pass
C048,McGill hackathon portfolio repo,https://github.com/ThongLai/Investment-Allocation-Analysis_McGill-Hackathon,universities,McGill hackathon,student,UNVERIFIED,Python,portfolio experiment framing,accepted,relevant,R101,true,
C049,Banking-Analytics-Lab org,https://github.com/Banking-Analytics-Lab,universities,Western University lab,official,UNVERIFIED,multi,banking analytics research references,accepted,relevant,R102,true,
C050,NASA-PDS validate,https://github.com/NASA-PDS/validate,nasa_labs,NASA PDS,official,Apache-2.0,Java,strict data validation gates,accepted,relevant,R049,true,
C051,NASA-SW-VnV mesa,https://github.com/NASA-SW-VnV/mesa,nasa_labs,NASA SW-VnV,official,UNVERIFIED,Scala/runtime verification,runtime verification architecture,accepted,relevant,R050,true,
C052,LLNL dfanalyzer,https://github.com/llnl/dfanalyzer,nasa_labs,LLNL,official,UNVERIFIED,Python,workflow evidence analysis,accepted,relevant,R051,true,
C053,ORNL flowcept,https://github.com/ORNL/flowcept,nasa_labs,ORNL,official,MIT,Python,provenance capture runtime,accepted,relevant,R052,true,
C054,Sandia vvtest,https://github.com/sandialabs/vvtest,nasa_labs,Sandia,official,UNVERIFIED,Python,verification and regression harness,accepted,relevant,R053,true,
C055,NIST SDNist,https://github.com/usnistgov/SDNist,nasa_labs,NIST,official,UNVERIFIED,Python,validation benchmark discipline,accepted,relevant,R054,true,
C056,NASA cFS,https://github.com/nasa/cFS,nasa_labs,NASA,official,Apache-2.0,C,modular mission-critical architecture,accepted,relevant,R103,true,
C057,NASA Trick,https://github.com/nasa/trick,nasa_labs,NASA,official,NASA-1.3,C++,simulation environment rigor,accepted,relevant,R104,true,
C058,NASA JPL ION-DTN,https://github.com/nasa-jpl/ION-DTN,nasa_labs,NASA JPL,official,UNVERIFIED,C,resilient communications patterns,accepted,relevant,R105,true,
C059,LLNL Merlin,https://github.com/LLNL/merlin,nasa_labs,LLNL,official,UNVERIFIED,Python,DAG orchestration patterns,accepted,relevant,R106,true,
C060,LLNL Conduit,https://github.com/LLNL/conduit,nasa_labs,LLNL,official,BSD-style,C++,scientific data model interchange,accepted,relevant,R107,true,
C061,PNNL tExplore,https://github.com/pnnl/texplore,nasa_labs,PNNL,official,UNVERIFIED,Python,trend analysis investigation tooling,accepted,relevant,R108,true,
C062,microsoft/qlib,https://github.com/microsoft/qlib,quant_backtesting,Microsoft,official,MIT,Python,quant research workflow platform,accepted,relevant,R085,true,
C063,Nautilus Trader,https://github.com/nautechsystems/nautilus_trader,quant_backtesting,Nautech,unofficial,UNVERIFIED,Rust+Python,reliability-first event architecture,accepted,relevant,R086,true,
C064,xang1234/stock-screener,https://github.com/xang1234/stock-screener,quant_backtesting,independent,unofficial,UNVERIFIED,Python+React,candidate screening workflow,accepted,relevant,R087,true,
C065,OpenBB,https://github.com/OpenBB-finance/OpenBB,quant_backtesting,OpenBB,official,UNVERIFIED,Python+FastAPI,provider-router-core architecture,accepted,relevant,R089,true,
C066,QuantConnect LEAN,https://github.com/QuantConnect/Lean,quant_backtesting,QuantConnect,official,Apache-2.0,C#+Python,event-driven production benchmark,accepted,relevant,R090,true,
C067,FinRL,https://github.com/AI4Finance-Foundation/FinRL,quant_backtesting,AI4Finance Foundation,official,MIT,Python,RL experiment framework,accepted,research-only,R091,true,
C068,Plexus Interop,https://plexus.finos.org/,finos,FINOS,official,UNVERIFIED,interop framework,desktop/app interop patterns,accepted,relevant,R092,true,
C069,FINOS Governance docs,https://odp.finos.org/docs/governance,finos,FINOS,official,UNVERIFIED,documentation,project governance gates,accepted,relevant,R093,true,
C070,DGFraud,https://github.com/safe-graph/DGFraud,osint_fraud,safe-graph,unofficial,UNVERIFIED,Python,graph fraud analytics,accepted,relevant,R110,true,
C071,AnoScout,https://github.com/julian-rakuschek/AnoScout,osint_fraud,independent,unofficial,UNVERIFIED,Python+TS,anomaly analyst UI,accepted,relevant,R111,true,
C072,Timesketch,https://github.com/google/timesketch,osint_fraud,Google,official,Apache-2.0,Python+JS,timeline-based evidence review,accepted,relevant,R116,true,
C073,OpenCTI entities docs,https://github.com/OpenCTI-Platform/docs/blob/main/docs/usage/exploring-entities.md,osint_fraud,OpenCTI,official,UNVERIFIED,documentation,entity exploration/dedup model,accepted,relevant,R117,true,
C074,insurance-ai-decision-platform,https://github.com/js731981/insurance-ai-decision-platform,osint_fraud,independent,unofficial,UNVERIFIED,FastAPI+LLM,triage queue and confidence thresholds,accepted,relevant,R118,true,
C075,PyRCA,https://github.com/salesforce/PyRCA,outside_validation,Salesforce,official,UNVERIFIED,Python,root-cause analysis framework,accepted,relevant,R119,true,
C076,PagerDuty postmortem template,https://github.com/PagerDuty/postmortem-docs/blob/master/docs/resources/post_mortem_template.md,outside_validation,PagerDuty,official,UNVERIFIED,markdown template,blameless postmortem structure,accepted,relevant,R120,true,
C077,insurance-evt,https://github.com/burning-cost/insurance-evt,outside_validation,burning-cost,unofficial,UNVERIFIED,Python,tail-risk EVT modeling,accepted,relevant,R121,true,
C078,nci/scores,https://github.com/nci/scores,outside_validation,NCI,official,Apache-2.0,Python,forecast verification metric suite,accepted,relevant,R122,true,
C079,ABIDES,https://github.com/abides-sim/abides,quant_backtesting,abides-sim,official,BSD-3-Clause,Python,agent-based discrete-event market simulation,accepted,relevant,R123,true,
C080,ABIDES JPMC Public,https://github.com/jpmorganchase/abides-jpmc-public,quant_backtesting,JPMorganChase,official,UNVERIFIED,Python+Notebooks,ABIDES-Markets and ABIDES-Gym references,accepted,relevant,R124,true,
C081,BackDash,https://github.com/sajalkmr/backdash,quant_backtesting,independent,unofficial,MIT,FastAPI+React,event-driven strategy lab UX,accepted,relevant,R125,true,
C082,QuantDash (reverified),https://github.com/jakobildstad/quantdash,quant_backtesting,independent,unofficial,UNVERIFIED,FastAPI+React,quant backtesting dashboard patterns,accepted,relevant,R126,true,
C083,BatesStocks,https://github.com/wtbates99/stock-indicators,quant_backtesting,independent,unofficial,UNVERIFIED,FastAPI+React,indicator-rich research dashboard concepts,accepted,relevant,R127,true,
C084,Open Paper Trading MCP (reverified),https://github.com/Open-Agent-Tools/open-paper-trading-mcp,quant_backtesting,Open-Agent-Tools,unofficial,Apache-2.0,FastAPI+MCP,paper trading interface for agent workflows,accepted,relevant,R128,true,
C085,Vibe-Trading,https://github.com/bxrbcn/Vibe-Trading,quant_backtesting,independent,unofficial,UNVERIFIED,Python+TypeScript,multi-agent research workflow ideas,accepted,research-only,R129,true,
C086,mcnamee/huntkit,https://github.com/mcnamee/huntkit,osint_fraud,mcnamee,unofficial,MIT,Shell+Docker,pentest toolkit reference only,rejected,not OSINT case-management tool,R130,true,
C087,hunters-org/hunter-kit,https://github.com/hunters-org/hunter-kit,osint_fraud,hunters-org,official,MIT,TypeScript,pentest automation reference only,rejected,not financial evidence case management,R131,true,
C088,Helm-Path claim target,https://github.com/Nhoya/gOSINT,osint_fraud,Nhoya,unofficial,UNVERIFIED,multi,negative verification for missing Helm-Path project,rejected,no exact Helm-Path repository found,R132,true,
C089,Owlculus,https://github.com/be0vlk/owlculus,osint_fraud,be0vlk,unofficial,UNVERIFIED,Python+Vue,OSINT case and evidence management workflow,accepted,relevant,R133,true,
C090,GHOST OSINT CRM,https://github.com/elm1nst3r/GHOST-osint-crm,osint_fraud,elm1nst3r,unofficial,UNVERIFIED,JavaScript,case CRM and relationship graph workflow,accepted,relevant,R134,true,
C091,Flowintel CM,https://github.com/flowintel/flowintel-cm,osint_fraud,flowintel,unofficial,UNVERIFIED,Python+JS,case/task lifecycle and audit logging,accepted,relevant,R135,true,
C092,DerwenAI Strwythura,https://github.com/DerwenAI/strwythura,knowledge_graph,DerwenAI,official,MIT,Python,entity-resolved KG tutorial pipeline,accepted,relevant,R136,true,
C093,DerwenAI ERKG,https://github.com/DerwenAI/ERKG,knowledge_graph,DerwenAI,official,MIT,Python+Neo4j,Senzing plus Neo4j ERKG workflow,accepted,relevant,R137,true,
C094,Neo4j entity-resolution example,https://github.com/neo4j-graph-examples/entity-resolution,knowledge_graph,Neo4j,official,UNVERIFIED,Cypher+Neo4j,record linkage and graph dedup patterns,accepted,relevant,R138,true,
C095,KBpedia,https://github.com/Cognonto/kbpedia,knowledge_graph,Cognonto,official,CC-BY-4.0,OWL ontology,ontology and concept hierarchy mapping,accepted,relevant,R139,true,
C096,RahulNYK knowledge_graph,https://github.com/rahulnyk/knowledge_graph,knowledge_graph,rahulnyk,unofficial,MIT,Python+Notebook,text-to-graph extraction prototype,accepted,relevant,R140,true,
C097,Senzing Kuzu ERKG example,https://github.com/kuzudb/entity-resolved-kg-senzing-kuzu,knowledge_graph,kuzudb,official,UNVERIFIED,Python+Kuzu,alternate Senzing ERKG implementation,accepted,relevant,R141,true,
C098,Siemens supply-chain KG thesis repo,https://github.com/Humboldt-WI-Dissertations/Knowledge-Graphs-Integration-in-the-Context-of-Supply-Chain-Risk-Management,knowledge_graph,Humboldt-WI-Dissertations,official,UNVERIFIED,Notebook+thesis,entity matching and KG merge methodology,accepted,relevant,R142,true,
C099,Siemens OKE llm-query-pipeline,https://github.com/Siemens-OKE/llm-query-pipeline,knowledge_graph,Siemens-OKE,official,MIT,Python+Notebook,NLQ-to-SPARQL workflow,rejected,not direct supply-chain KG validation evidence,R143,true,
C100,FSSprob,https://github.com/wolfgruber/FSSprob,outside_validation,wolfgruber,unofficial,UNVERIFIED,Python+Fortran,probabilistic fractions skill score checks,accepted,relevant,R145,true,
C101,properscoring,https://github.com/properscoring/properscoring,outside_validation,properscoring,official,Apache-2.0,Python,proper scoring rules CRPS/Brier,accepted,relevant,R146,true,
C102,xskillscore,https://github.com/xarray-contrib/xskillscore,outside_validation,xarray-contrib,official,Apache-2.0,Python,forecast verification metrics with xarray,accepted,relevant,R147,true,
C103,pycontrolcharts,https://github.com/suanto/pycontrolcharts,outside_validation,suanto,unofficial,UNVERIFIED,Python,SPC charts and process stability monitoring,accepted,relevant,R148,true,
C104,Evidently,https://github.com/evidentlyai/evidently,mlops_lineage,evidentlyai,official,Apache-2.0,Python,data/LLM observability and drift monitoring,accepted,relevant,R149,true,
C105,Dagster asset lineage docs,https://github.com/dagster-io/dagster/blob/master/docs/docs/guides/build/assets/asset-selection-syntax/index.md,mlops_lineage,dagster-io,official,Apache-2.0,Python,lineage-aware asset selection and navigation,accepted,relevant,R150,true,
C106,Great Expectations,https://github.com/great-expectations/great_expectations,mlops_lineage,great-expectations,official,Apache-2.0,Python,data contract and expectation testing,accepted,relevant,R151,true,
C107,DVC,https://github.com/iterative/dvc,mlops_lineage,iterative,official,Apache-2.0,Python,data versioning and reproducible pipelines,accepted,relevant,R152,true,
C108,MLflow,https://github.com/MLflow/MLflow,mlops_lineage,MLflow,official,Apache-2.0,Python+TypeScript,experiment tracking and run metadata,accepted,relevant,R153,true,
C109,OpenLineage spec,https://github.com/OpenLineage/OpenLineage,mlops_lineage,OpenLineage,official,Apache-2.0,multi,open lineage metadata standard,accepted,relevant,R154,true,
C110,Marquez,https://github.com/MarquezProject/marquez,mlops_lineage,MarquezProject,official,Apache-2.0,Java+TypeScript,lineage metadata service and UI patterns,accepted,relevant,R155,true,
C111,Prefect,https://github.com/PrefectHQ/prefect,mlops_lineage,PrefectHQ,official,Apache-2.0,Python,workflow orchestration scheduling retries UI,accepted,gap-closure receipt R059,R059,true,
C112,Dagster,https://github.com/dagster-io/dagster,mlops_lineage,dagster-io,official,Apache-2.0,Python,data asset pipelines lineage UI,accepted,gap-closure receipt R060,R060,true,
C113,dbt Core,https://github.com/dbt-labs/dbt-core,mlops_lineage,dbt Labs,official,Apache-2.0,Python+SQL,SQL models tests lineage docs,accepted,gap-closure receipt R063,R063,true,
C114,DuckDB engine,https://github.com/duckdb/duckdb,mlops_lineage,DuckDB,official,MIT,C++ SQL engine,analytical SQL over Parquet CSV,accepted,gap-closure receipt R064,R064,true,
C115,DataHub,https://github.com/datahub-project/datahub,mlops_lineage,datahub-project,official,Apache-2.0,multi,AI data catalog governance lineage,accepted,gap-closure receipt R065,R065,true,
C116,Feast,https://github.com/feast-dev/feast,mlops_lineage,Feast OSS,official,Apache-2.0,Python,feature store offline online serving,accepted,gap-closure receipt R066,R066,true,
C117,Dedupe,https://github.com/dedupeio/dedupe,osint_fraud,dedupeio,official,MIT,Python,ML entity resolution fuzzy matching,accepted,gap-closure receipt R068,R068,true,
C118,PyOD,https://github.com/yzhao062/pyod,osint_fraud,PyOD authors,official,BSD-2-Clause,Python,outlier and anomaly detection library,accepted,gap-closure receipt R069,R069,true,
C119,Orion TSAD,https://github.com/sintel-dev/Orion,osint_fraud,Sintel MIT,official,MIT,Python,unsupervised time series anomaly pipelines,accepted,gap-closure receipt R070,R070,true,
C120,Sigma rules,https://github.com/SigmaHQ/sigma,osint_fraud,SigmaHQ,official,DRL 1.1,YAML,portable SIEM detection rules,accepted,gap-closure receipt R071,R071,true,
C121,TheHive,https://github.com/TheHive-Project/TheHive,osint_fraud,TheHive Project,official,AGPL-3.0,Scala,security incident case management,accepted,gap-closure receipt R072,R072,true,
C122,Velociraptor,https://github.com/Velocidex/velociraptor,osint_fraud,Velocidex,official,AGPL-3.0,Go,endpoint VQL investigations,accepted,gap-closure receipt R073,R073,true,
C123,NeoDash,https://github.com/neo4j-labs/neodash,osint_fraud,Neo4j Labs,Apache-2.0,TypeScript,Neo4j graph dashboards UI patterns,accepted,README states unmaintained use patterns only,R074,false,unmaintained upstream invalidated for strict evidence
C124,statsmodels,https://github.com/statsmodels/statsmodels,outside_validation,statsmodels,official,BSD-3-Clause,Python,statistical models tests diagnostics,accepted,gap-closure receipt R076,R076,true,
C125,Apache Tika,https://github.com/apache/tika,outside_validation,Apache,official,Apache-2.0,Java,document metadata text extraction,accepted,gap-closure receipt R077,R077,true,
C126,OHDSI WebAPI,https://github.com/OHDSI/WebAPI,outside_validation,OHDSI,official,Apache-2.0,Java,cohort APIs over OMOP CDM,accepted,gap-closure receipt R078,R078,true,
C127,industrial_ci,https://github.com/ros-industrial/industrial_ci,outside_validation,ROS-Industrial,official,Apache-2.0,Bash,docker CI for ROS builds tests,accepted,gap-closure receipt R079,R079,true,
C128,Epiabm,https://github.com/SABS-R3-Epidemiology/epiabm,outside_validation,SABS Oxford,official,UNVERIFIED,Python+C++,agent SEIR epidemic simulation,accepted,gap-closure receipt R080,R080,true,
C129,pandas-profiling,https://github.com/ydataai/pandas-profiling,outside_validation,YData,official,MIT,Python,EDA ProfileReport QC dashboards,accepted,gap-closure receipt R081,R081,true,
C130,erddapy,https://github.com/ioos/erddapy,nasa_labs,IOOS,official,BSD-3-Clause,Python,NOAA ERDDAP scientific client,accepted,gap-closure receipt R082,R082,true,
C131,dataretrieval,https://github.com/USGS-python/dataretrieval,nasa_labs,USGS,official,CC0-1.0,Python,USGS Water Data APIs client,accepted,gap-closure receipt R083,R083,true,
C132,REANA,https://github.com/reanahub/reana,nasa_labs,reanahub,official,MIT,Python,reproducible physics-style workflows,accepted,gap-closure receipt R084,R084,true,
